Velocity x  Velocity y  Velocity z  Pressure 
0 0 0 0 0 0 -0.120381
0 0 0 0 0 0 0.0306437
0 0 0 0 0 0 0.166028
0 0 0 0 0 0 -0.325635
0.968113 0.0408232 0 -0.0488881 0.168524 0 -0.00884374
0.981709 0.00244431 0 -0.0300858 0.459523 0 -0.00786746
1.02099 -0.0284197 0 0.0285377 -0.0277943 0 -0.044635
1.01295 -0.0172775 0 0.479485 -0.0310573 0 -0.0341429
0.962322 0.023079 0 0.0123182 -0.121531 0 0.100943
0.974864 0.0264422 0 -0.185469 0.94342 0 0.0778064
1.01781 -0.0223584 0 -0.00976515 -0.0275046 0 0.0278897
1.01193 -0.0130487 0 0.438703 0.0184571 0 0.0282953
0 0 0 0 0 0 -0.113715
0 0 0 0 0 0 -0.0939299
0 0 0 0 0 0 -0.083036
0 0 0 0 0 0 -0.0720383
0 0 0 0 0 0 -0.0680647
0 0 0 0 0 0 -0.0588204
0 0 0 0 0 0 -0.06057
0 0 0 0 0 0 -0.0547113
0 0 0 0 0 0 -0.0494062
0 0 0 0 0 0 -0.0474611
0 0 0 0 0 0 -0.0447179
0 0 0 0 0 0 -0.0413524
0 0 0 0 0 0 -0.0363601
0 0 0 0 0 0 -0.0339769
0 0 0 0 0 0 -0.0317308
0 0 0 0 0 0 -0.0264988
0 0 0 0 0 0 -0.0309643
0 0 0 0 0 0 -0.0273637
0 0 0 0 0 0 -0.0241883
0 0 0 0 0 0 -0.0231664
0 0 0 0 0 0 -0.0197963
0 0 0 0 0 0 -0.0193873
0 0 0 0 0 0 -0.011697
0 0 0 0 0 0 -0.0089995
0 0 0 0 0 0 -0.00333988
0 0 0 0 0 0 -0.000374008
0 0 0 0 0 0 0.00550254
0 0 0 0 0 0 0.0119107
0 0 0 0 0 0 0.0198975
0 0 0 0 0 0 -0.133514
0 0 0 0 0 0 -0.112003
0 0 0 0 0 0 -0.0991621
0 0 0 0 0 0 -0.0793542
0 0 0 0 0 0 -0.074707
0 0 0 0 0 0 -0.0674535
0 0 0 0 0 0 -0.0652801
0 0 0 0 0 0 -0.0618714
0 0 0 0 0 0 -0.0528635
0 0 0 0 0 0 -0.0478766
0 0 0 0 0 0 -0.0494849
0 0 0 0 0 0 -0.0467626
0 0 0 0 0 0 -0.041041
0 0 0 0 0 0 -0.040933
0 0 0 0 0 0 -0.0336975
0 0 0 0 0 0 -0.0304501
0 0 0 0 0 0 -0.0317352
0 0 0 0 0 0 -0.0313095
0 0 0 0 0 0 -0.0270164
0 0 0 0 0 0 -0.0264776
0 0 0 0 0 0 -0.0220803
0 0 0 0 0 0 -0.0198353
0 0 0 0 0 0 -0.0185924
0 0 0 0 0 0 -0.0143115
0 0 0 0 0 0 -0.00782869
0 0 0 0 0 0 -0.00494283
0 0 0 0 0 0 0.00235945
0 0 0 0 0 0 0.00640697
0 0 0 0 0 0 0.0130182
0 0 0 0 0 0 0.0225907
0 0 0 0 0 0 0.0416865
0 0 0 0 0 0 0.0558874
0 0 0 0 0 0 0.0699065
0 0 0 0 0 0 0.0882233
0 0 0 0 0 0 0.109583
0 0 0 0 0 0 0.134993
0 0 0 0 0 0 0.168607
0 0 0 0 0 0 0.209029
0 0 0 0 0 0 0.264
0 0 0 0 0 0 0.34008
0 0 0 0 0 0 0.441671
0 0 0 0 0 0 0.509241
0 0 0 0 0 0 0.0329505
0 0 0 0 0 0 0.0471848
0 0 0 0 0 0 0.0595133
0 0 0 0 0 0 0.0793121
0 0 0 0 0 0 0.0985592
0 0 0 0 0 0 0.121969
0 0 0 0 0 0 0.150697
0 0 0 0 0 0 0.185813
0 0 0 0 0 0 0.233403
0 0 0 0 0 0 0.29769
0 0 0 0 0 0 0.387933
0 0 0 0 0 0 0.496062
0 0 0 0 0 0 0.428874
0 0 0 0 0 0 -0.541184
0 0 0 0 0 0 -0.690994
0 0 0 0 0 0 -0.672426
0 0 0 0 0 0 -0.611331
0 0 0 0 0 0 -0.549265
0 0 0 0 0 0 -0.509874
0 0 0 0 0 0 -0.467013
0 0 0 0 0 0 -0.437875
0 0 0 0 0 0 -0.410149
0 0 0 0 0 0 -0.385263
0 0 0 0 0 0 -0.363898
0 0 0 0 0 0 -0.340856
0 0 0 0 0 0 -0.187816
0 0 0 0 0 0 -0.661497
0 0 0 0 0 0 -0.689439
0 0 0 0 0 0 -0.644032
0 0 0 0 0 0 -0.581797
0 0 0 0 0 0 -0.529786
0 0 0 0 0 0 -0.491096
0 0 0 0 0 0 -0.452319
0 0 0 0 0 0 -0.423227
0 0 0 0 0 0 -0.397311
0 0 0 0 0 0 -0.373552
0 0 0 0 0 0 -0.356953
0 0 0 0 0 0 -0.33503
0 0 0 0 0 0 -0.304448
0 0 0 0 0 0 -0.289497
0 0 0 0 0 0 -0.271407
0 0 0 0 0 0 -0.256092
0 0 0 0 0 0 -0.240982
0 0 0 0 0 0 -0.224545
0 0 0 0 0 0 -0.213012
0 0 0 0 0 0 -0.198275
0 0 0 0 0 0 -0.191005
