Velocity x  Velocity y  Velocity z  Pressure 
0 0 0 0 0 0 -0.145501
0 0 0 0 0 0 -0.0233864
0 0 0 0 0 0 0.140314
0 0 0 0 0 0 -0.261327
0.969091 0.0374527 0 -0.1025 0.162575 0 0.0618078
0.98231 -0.00674616 0 0.151995 0.305439 0 0.0697916
1.02042 -0.0278638 0 0.0399344 -0.10493 0 0.0438748
1.00336 -0.0166564 0 0.471432 0.133766 0 0.0627335
0.962076 0.0255096 0 -0.0505607 -0.0531792 0 0.0535736
0.978573 0.00757384 0 0.166555 1.46263 0 0.0230364
1.01801 -0.0218083 0 0.00573151 -0.0923367 0 -0.0211085
1.00316 -0.0134179 0 0.440608 0.145178 0 -0.0281886
0 0 0 0 0 0 -0.176997
0 0 0 0 0 0 -0.155088
0 0 0 0 0 0 -0.137226
0 0 0 0 0 0 -0.122823
0 0 0 0 0 0 -0.114975
0 0 0 0 0 0 -0.101109
0 0 0 0 0 0 -0.109299
0 0 0 0 0 0 -0.103008
0 0 0 0 0 0 -0.0960815
0 0 0 0 0 0 -0.0940992
0 0 0 0 0 0 -0.091595
0 0 0 0 0 0 -0.0875006
0 0 0 0 0 0 -0.0821164
0 0 0 0 0 0 -0.0796076
0 0 0 0 0 0 -0.0769944
0 0 0 0 0 0 -0.0658491
0 0 0 0 0 0 -0.0709218
0 0 0 0 0 0 -0.0664874
0 0 0 0 0 0 -0.0640803
0 0 0 0 0 0 -0.0650078
0 0 0 0 0 0 -0.0632278
0 0 0 0 0 0 -0.0658825
0 0 0 0 0 0 -0.057865
0 0 0 0 0 0 -0.0538791
0 0 0 0 0 0 -0.0477916
0 0 0 0 0 0 -0.0488277
0 0 0 0 0 0 -0.0444759
0 0 0 0 0 0 -0.0405641
0 0 0 0 0 0 -0.0329601
0 0 0 0 0 0 -0.194177
0 0 0 0 0 0 -0.176002
0 0 0 0 0 0 -0.159031
0 0 0 0 0 0 -0.133138
0 0 0 0 0 0 -0.124927
0 0 0 0 0 0 -0.112838
0 0 0 0 0 0 -0.111295
0 0 0 0 0 0 -0.113681
0 0 0 0 0 0 -0.100774
0 0 0 0 0 0 -0.0947677
0 0 0 0 0 0 -0.0962631
0 0 0 0 0 0 -0.094277
0 0 0 0 0 0 -0.0874017
0 0 0 0 0 0 -0.0865164
0 0 0 0 0 0 -0.0802428
0 0 0 0 0 0 -0.0726733
0 0 0 0 0 0 -0.073634
0 0 0 0 0 0 -0.0714796
0 0 0 0 0 0 -0.0668598
0 0 0 0 0 0 -0.067661
0 0 0 0 0 0 -0.0649827
0 0 0 0 0 0 -0.0654087
0 0 0 0 0 0 -0.0652815
0 0 0 0 0 0 -0.0615668
0 0 0 0 0 0 -0.0519329
0 0 0 0 0 0 -0.0526014
0 0 0 0 0 0 -0.0465737
0 0 0 0 0 0 -0.0449115
0 0 0 0 0 0 -0.040063
0 0 0 0 0 0 -0.0311695
0 0 0 0 0 0 -0.0128879
0 0 0 0 0 0 0.00107797
0 0 0 0 0 0 0.01591
0 0 0 0 0 0 0.0347172
0 0 0 0 0 0 0.0565654
0 0 0 0 0 0 0.0827799
0 0 0 0 0 0 0.115809
0 0 0 0 0 0 0.154246
0 0 0 0 0 0 0.208407
0 0 0 0 0 0 0.283732
0 0 0 0 0 0 0.388645
0 0 0 0 0 0 0.463314
0 0 0 0 0 0 -0.0227744
0 0 0 0 0 0 -0.00774756
0 0 0 0 0 0 0.00432278
0 0 0 0 0 0 0.0255629
0 0 0 0 0 0 0.0453671
0 0 0 0 0 0 0.0694746
0 0 0 0 0 0 0.0990422
0 0 0 0 0 0 0.130779
0 0 0 0 0 0 0.179093
0 0 0 0 0 0 0.240228
0 0 0 0 0 0 0.333731
0 0 0 0 0 0 0.444907
0 0 0 0 0 0 0.392027
0 0 0 0 0 0 -0.549845
0 0 0 0 0 0 -0.674522
0 0 0 0 0 0 -0.628802
0 0 0 0 0 0 -0.555459
0 0 0 0 0 0 -0.487183
