Velocity x  Velocity y  Velocity z  Pressure 
0 0 0 0 0 0 0.614106
0 0 0 0 0 0 -1.87971
0 0 0 0 0 0 -1.19962
0 0 0 0 0 0 1.04922
0.971141 0.0342012 0 0.24216 0.334152 0 0.268796
0.97927 -0.0128549 0 -0.195718 -1.08215 0 0.131887
1.01962 -0.0257652 0 0.163247 0.186665 0 0.230252
0.993932 -0.0193317 0 -1.12475 0.00887217 0 0.110448
0.963087 0.0265732 0 0.389951 0.148904 0 -0.139312
0.975242 -0.0216787 0 -0.141871 -1.63739 0 0.0414102
1.01789 -0.0199615 0 0.131059 0.146029 0 -0.118776
0.994346 -0.0163214 0 -1.12212 -0.0339457 0 -0.021955
0 0 0 0 0 0 0.338701
0 0 0 0 0 0 0.129272
0 0 0 0 0 0 0.0292111
0 0 0 0 0 0 -0.139737
0 0 0 0 0 0 -0.230155
0 0 0 0 0 0 -0.377266
0 0 0 0 0 0 -0.444906
0 0 0 0 0 0 -0.488517
0 0 0 0 0 0 -0.558192
0 0 0 0 0 0 -0.683041
0 0 0 0 0 0 -0.797975
0 0 0 0 0 0 -0.832186
0 0 0 0 0 0 -0.933558
0 0 0 0 0 0 -0.984037
0 0 0 0 0 0 -1.0974
0 0 0 0 0 0 -1.13448
0 0 0 0 0 0 -1.15412
0 0 0 0 0 0 -1.21366
0 0 0 0 0 0 -1.3157
0 0 0 0 0 0 -1.34774
0 0 0 0 0 0 -1.4061
0 0 0 0 0 0 -1.51045
0 0 0 0 0 0 -1.56858
0 0 0 0 0 0 -1.57358
0 0 0 0 0 0 -1.64683
0 0 0 0 0 0 -1.66007
0 0 0 0 0 0 -1.73004
0 0 0 0 0 0 -1.80858
0 0 0 0 0 0 -1.82211
0 0 0 0 0 0 0.437168
0 0 0 0 0 0 0.21828
0 0 0 0 0 0 0.0666799
0 0 0 0 0 0 -0.0624599
0 0 0 0 0 0 -0.192409
0 0 0 0 0 0 -0.310926
0 0 0 0 0 0 -0.423808
0 0 0 0 0 0 -0.47083
0 0 0 0 0 0 -0.530066
0 0 0 0 0 0 -0.620046
0 0 0 0 0 0 -0.746777
0 0 0 0 0 0 -0.817946
0 0 0 0 0 0 -0.885797
0 0 0 0 0 0 -0.963815
0 0 0 0 0 0 -1.04504
0 0 0 0 0 0 -1.11804
0 0 0 0 0 0 -1.15059
0 0 0 0 0 0 -1.18658
0 0 0 0 0 0 -1.26831
0 0 0 0 0 0 -1.33563
0 0 0 0 0 0 -1.37679
0 0 0 0 0 0 -1.45919
0 0 0 0 0 0 -1.54335
0 0 0 0 0 0 -1.57365
0 0 0 0 0 0 -1.61137
0 0 0 0 0 0 -1.66022
0 0 0 0 0 0 -1.69308
0 0 0 0 0 0 -1.77226
0 0 0 0 0 0 -1.8161
0 0 0 0 0 0 -1.85384
0 0 0 0 0 0 -1.86904
0 0 0 0 0 0 -1.91236
